brightness_pct,lux_luxmeter,source
0,0.5,computer_screen
10,0.6,computer_screen
20,0.9,computer_screen
30,1.3,computer_screen
40,2.0,computer_screen
50,3.0,computer_screen
60,4.4,computer_screen
70,6.4,computer_screen
80,9.1,computer_screen
90,15.2,computer_screen
100,22.1,computer_screen
100,22.1,computer_screen
90,15.2,computer_screen
80,9.0,computer_screen
70,6.4,computer_screen
60,4.3,computer_screen
50,3.0,computer_screen
40,2.0,computer_screen
30,1.4,computer_screen
20,0.9,computer_screen
10,0.6,computer_screen
0,0.4,computer_screen
